,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
Lincoln,0.0,0.0,0.0,0.0,0.0,0.0,28.79573692813359,0.0,0.0,0.0,0.0,0.0,0.0,24.57119559226608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57195066794406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.954818193577875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.178154990220968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Livingston,0.0,0.0,19.63457274790064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.955403275331463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.322008584055606,0.0,26.514050109899216,0.0,0.0,0.0,0.0,23.11254902847165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.368964572482014,0.0,0.0,29.84633957337729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66991866900455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.628155559073452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morehouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28073876005362,0.0,0.0,0.0,0.0,27.818645645480352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.34831339221033,0.0,0.0,0.0,0.0,0.0,20.196426656780492,0.0,0.0
Natchitoches,0.0,0.0,0.0,0.0,0.0,0.0,43.05249699288562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.08630050814704,0.0,0.0,0.0,0.0,0.0,32.75585566785579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.11981022489351,29.220520156769528,0.0,29.170814240446916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.696143376160826,0.0,0.0,0.0,0.0,0.0,31.005264794940423
Orleans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.702652754693354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31759067443758,0.0,0.0,0.0,0.0,0.0,26.308006042411908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.596498509375404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ouachita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68476587930152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.50684568382886,0.0,0.0,0.0,0.0,0.0,30.954818193577875,0.0,0.0,31.28073876005362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.246803629401228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52024199170305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plaquemines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28858817899217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31759067443758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69932437181032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointe Coupee,0.0,0.0,0.0,0.0,34.71208717336008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.78550455444229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.489644759556626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.295124176704757,39.98331864337375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.119551479897666,0.0,15.913680941219647,0.0
Rapides,0.0,41.46413571007063,0.0,0.0,32.62042840869887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22740186930607,0.0,27.677604339228374,0.0,0.0,0.0,0.0,0.0,39.63047309409984,0.0,0.0,0.0,0.0,0.0,0.0,49.11981022489351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.07493550428555,0.0,0.0,0.0,0.0,0.0,0.0
